Accession,Host
NC_073471,Rothia dentocariosa
NC_073472,Streptomyces lividans
NC_073473,Streptomyces scabiei
NC_073474,Gordonia rubripertincta
NC_073475,Rhodococcus opacus
NC_073427,Microbacterium testaceum
NC_073428,Microbacterium foliorum
NC_073429,Microbacterium foliorum
NC_073430,Microbacterium foliorum
NC_073431,Microbacterium foliorum
NC_073432,Microbacterium foliorum
NC_073433,Microbacterium foliorum
NC_073434,Microbacterium foliorum
NC_073435,Microbacterium foliorum
NC_073436,Microbacterium foliorum
NC_073437,Microbacterium foliorum
NC_073438,Microbacterium foliorum
NC_073439,Microbacterium foliorum
NC_073440,Microbacterium foliorum
NC_073441,Microbacterium foliorum
NC_073442,Microbacterium foliorum
NC_073443,Microbacterium foliorum
NC_073444,Microbacterium foliorum
NC_073445,Microbacterium foliorum
NC_073446,Microbacterium foliorum
NC_073447,Microbacterium foliorum
NC_073448,Microbacterium foliorum
NC_073449,Microbacterium foliorum
NC_073450,Microbacterium foliorum
NC_073451,Microbacterium foliorum
NC_073452,Microbacterium foliorum
NC_073453,Microbacterium foliorum
NC_073454,Microbacterium foliorum
NC_073455,Microbacterium foliorum
NC_073362,Microbacterium paraoxydans
NC_073363,Microbacterium foliorum
NC_073364,Microbacterium paraoxydans
NC_073365,Microbacterium foliorum
NC_073366,Microbacterium foliorum
NC_073367,Microbacterium paraoxydans
NC_073368,Microbacterium paraoxydans
NC_073369,Microbacterium foliorum
NC_073370,Microbacterium foliorum
NC_073371,Microbacterium foliorum
NC_073372,Microbacterium foliorum
NC_073373,Microbacterium paraoxydans
NC_073374,Microbacterium paraoxydans
NC_073375,Microbacterium paraoxydans
NC_073376,Microbacterium paraoxydans
NC_073314,Escherichia coli
NC_073315,Escherichia coli
NC_073316,Escherichia coli
NC_073317,Escherichia coli
NC_073318,Escherichia coli
NC_073319,Escherichia coli
NC_073320,Escherichia coli
NC_073321,Escherichia coli
NC_073322,Escherichia coli
NC_073323,Escherichia coli
NC_073324,Escherichia coli
NC_073325,Escherichia coli
NC_073093,Xanthomonas translucens
NC_073094,Xanthomonas translucens
NC_073095,Xanthomonas translucens
NC_073169,Salmonella sp.
NC_073170,Salmonella enterica
NC_073171,Salmonella enterica
NC_073172,Salmonella enterica
NC_073173,Salmonella enterica
NC_073174,Salmonella enterica
NC_073175,Salmonella enterica
NC_073176,Salmonella enterica
NC_073177,Salmonella enterica
NC_073178,Salmonella enterica
NC_073179,Salmonella enterica
NC_073180,Salmonella enterica
NC_073181,Salmonella enterica
NC_073182,Salmonella enterica
NC_073183,Salmonella enterica
NC_073184,Salmonella sp.
NC_073185,Salmonella enterica
NC_073186,Salmonella enterica
NC_073187,Salmonella enterica
NC_073188,Salmonella enterica
NC_073189,Salmonella enterica
NC_073190,Salmonella enterica
NC_073192,Salmonella enterica
NC_073193,Salmonella sp.
NC_073194,Salmonella sp.
NC_073195,Salmonella enterica
NC_073196,Salmonella enterica
NC_073197,Salmonella enterica
NC_073198,Salmonella enterica
NC_073199,Salmonella enterica
NC_073200,Salmonella enterica
NC_073201,Salmonella enterica
NC_073202,Salmonella enterica
NC_073203,Salmonella enterica
NC_073204,Salmonella enterica
NC_073205,Salmonella enterica
NC_073206,Salmonella sp.
NC_073207,Salmonella sp.
NC_073208,Salmonella enterica
NC_073209,Salmonella enterica
NC_073210,Salmonella enterica
NC_073211,Salmonella enterica
NC_073212,Salmonella enterica
NC_073213,Salmonella enterica
NC_073214,Salmonella enterica
NC_073215,Salmonella enterica
NC_073216,Salmonella enterica
NC_073217,Salmonella enterica
NC_073218,Salmonella enterica
NC_073219,Salmonella enterica
NC_073050,Bacillus subtilis
NC_073051,Escherichia coli
NC_073052,Escherichia coli
NC_073053,Escherichia coli
NC_073054,Escherichia coli
NC_073055,Escherichia coli
NC_073056,Escherichia coli
NC_073057,Escherichia coli
NC_073058,Escherichia coli
NC_073059,Escherichia coli
NC_073060,Escherichia coli
NC_073061,Escherichia coli
NC_073062,Escherichia coli
NC_073063,Escherichia coli
NC_073064,Escherichia coli
NC_073065,Escherichia coli
NC_073066,Escherichia coli
NC_073067,Escherichia coli
NC_073068,Escherichia coli
NC_073070,Escherichia coli
NC_073071,Escherichia coli
NC_073072,Escherichia coli
NC_073073,Escherichia coli
NC_073074,Escherichia coli
NC_073075,Escherichia coli
NC_073076,Escherichia coli
NC_073078,Escherichia coli
NC_073079,Escherichia coli
NC_073080,Escherichia coli
NC_073081,Escherichia coli
NC_073082,Shigella boydii
NC_073083,Escherichia coli
NC_073084,Escherichia coli
NC_073085,Escherichia coli
NC_073086,Escherichia coli
NC_073087,Escherichia coli
NC_073088,Escherichia sp.
NC_073089,Escherichia coli
NC_073090,Bacillus anthracis
NC_073091,Bacillus thuringiensis
NC_072809,Pseudomonas aeruginosa
NC_072810,Pseudomonas aeruginosa
NC_072811,Escherichia coli
NC_072498,Pseudomonas aeruginosa
NC_072499,Xanthomonas arboricola
NC_072500,Pseudomonas aeruginosa
NC_072501,Pseudomonas aeruginosa
NC_072502,Pseudomonas putida
NC_072503,Sphingomonas turrisvirgatae
NC_072504,Stenotrophomonas maltophilia
NC_071142,Klebsiella pneumoniae
NC_071144,Klebsiella pneumoniae
NC_071145,Klebsiella pneumoniae
NC_071146,Klebsiella pneumoniae
NC_071147,Klebsiella pneumoniae
NC_071148,Klebsiella pneumoniae
NC_071149,Klebsiella pneumoniae
NC_071150,Klebsiella sp.
NC_071151,Klebsiella pneumoniae
NC_071152,Klebsiella pneumoniae
NC_071153,Klebsiella pneumoniae
NC_071154,Klebsiella pneumoniae
NC_071155,Klebsiella pneumoniae
NC_071156,Klebsiella pneumoniae
NC_071157,Klebsiella pneumoniae
NC_071128,Klebsiella pneumoniae
NC_071129,Klebsiella pneumoniae
NC_071131,Klebsiella pneumoniae
NC_071132,Klebsiella pneumoniae
NC_071133,Klebsiella pneumoniae
NC_071135,Klebsiella pneumoniae
NC_071136,Klebsiella pneumoniae
NC_071138,Klebsiella pneumoniae
NC_071139,Klebsiella pneumoniae
NC_071140,Escherichia sp.
NC_071141,Klebsiella pneumoniae
NC_071036,Stenotrophomonas maltophilia
NC_071037,Salmonella enterica
NC_071038,Salmonella enterica
NC_071039,Pseudomonas aeruginosa
NC_071040,Bacillus cereus
NC_071041,Bacillus cereus
NC_071042,Bacillus anthracis
NC_071043,Bacillus cereus
NC_071044,Bacillus anthracis
NC_071045,Bacillus cereus
NC_071046,Bacillus anthracis
NC_071047,Bacillus anthracis
NC_071048,Bacillus anthracis
NC_071049,Sutcliffiella cohnii
NC_071050,Bacillus subtilis
NC_071051,Streptococcus thermophilus
NC_071052,Streptococcus thermophilus
NC_071053,Streptococcus thermophilus
NC_071054,Streptococcus thermophilus
NC_071055,Streptococcus thermophilus
NC_071056,Streptococcus thermophilus
NC_071057,Streptococcus thermophilus
NC_071058,Streptococcus thermophilus
NC_071059,Streptococcus thermophilus
NC_071060,Streptococcus thermophilus
NC_071061,Streptococcus thermophilus
NC_071062,Streptococcus thermophilus
NC_071063,Streptococcus thermophilus
NC_071064,Streptococcus thermophilus
NC_071065,Streptococcus thermophilus
NC_071066,Streptococcus thermophilus
NC_071067,Streptococcus thermophilus
NC_071068,Streptococcus thermophilus
NC_071069,Streptococcus thermophilus
NC_071070,Streptococcus thermophilus
NC_071071,Streptococcus thermophilus
NC_071072,Streptococcus thermophilus
NC_071073,Streptococcus thermophilus
NC_071074,Streptococcus thermophilus
NC_071075,Streptococcus thermophilus
NC_071076,Streptococcus thermophilus
NC_071077,Streptococcus thermophilus
NC_071078,Streptococcus thermophilus
NC_071079,Streptococcus thermophilus
NC_071080,Streptococcus thermophilus
NC_071081,Streptococcus thermophilus
NC_071082,Streptococcus thermophilus
NC_071083,Streptococcus thermophilus
NC_071084,Streptococcus thermophilus
NC_071085,Streptococcus thermophilus
NC_071086,Streptococcus thermophilus
NC_070654,Streptococcus thermophilus
NC_070655,Streptococcus thermophilus
NC_070656,Streptococcus thermophilus
NC_070657,Streptococcus thermophilus
NC_070658,Streptococcus thermophilus
NC_070659,Streptococcus thermophilus
NC_070660,Streptococcus thermophilus
NC_070661,Streptococcus thermophilus
NC_070662,Streptococcus thermophilus
NC_070663,Streptococcus thermophilus
NC_070664,Streptococcus thermophilus
NC_070665,Streptococcus thermophilus
NC_070666,Streptococcus thermophilus
NC_070667,Streptococcus thermophilus
NC_070668,Streptococcus thermophilus
NC_070669,Streptococcus thermophilus
NC_070670,Streptococcus thermophilus
NC_070671,Streptococcus thermophilus
NC_070672,Streptococcus thermophilus
NC_070673,Streptococcus thermophilus
NC_070674,Streptococcus thermophilus
NC_070675,Streptococcus thermophilus
NC_070676,Streptococcus thermophilus
NC_070677,Streptococcus thermophilus
NC_070678,Streptococcus thermophilus
NC_070679,Streptococcus thermophilus
NC_070680,Streptococcus thermophilus
NC_070681,Streptococcus thermophilus
NC_070682,Streptococcus thermophilus
NC_070683,Streptococcus thermophilus
NC_070684,Streptococcus thermophilus
NC_070685,Streptococcus thermophilus
NC_070686,Streptococcus thermophilus
NC_070687,Streptococcus thermophilus
NC_070688,Streptococcus thermophilus
NC_070689,Streptococcus thermophilus
NC_070690,Streptococcus thermophilus
NC_070691,Streptococcus thermophilus
NC_070692,Streptococcus thermophilus
NC_070693,Streptococcus thermophilus
NC_070694,Streptococcus thermophilus
NC_070695,Streptococcus thermophilus
NC_070696,Streptococcus thermophilus
NC_070697,Streptococcus thermophilus
NC_070698,Streptococcus thermophilus
NC_070699,Streptococcus thermophilus
NC_070700,Streptococcus thermophilus
NC_070701,Streptococcus thermophilus
NC_070702,Streptococcus thermophilus
NC_070703,Streptococcus thermophilus
NC_070704,Streptococcus thermophilus
NC_070705,Streptococcus thermophilus
NC_070706,Streptococcus thermophilus
NC_070707,Streptococcus thermophilus
NC_070708,Streptococcus thermophilus
NC_070709,Streptococcus thermophilus
NC_070710,Streptococcus thermophilus
NC_070711,Streptococcus thermophilus
NC_070712,Streptococcus thermophilus
NC_070713,Streptococcus thermophilus
NC_070714,Streptococcus thermophilus
NC_070715,Streptococcus thermophilus
NC_070716,Streptococcus thermophilus
NC_070717,Streptococcus thermophilus
NC_070718,Streptococcus thermophilus
NC_070719,Streptococcus thermophilus
NC_070720,Streptococcus thermophilus
NC_070721,Streptococcus thermophilus
NC_070722,Streptococcus thermophilus
NC_070723,Streptococcus thermophilus
NC_070724,Streptococcus thermophilus
NC_070725,Streptococcus thermophilus
NC_070726,Streptococcus thermophilus
NC_070758,Vibrio parahaemolyticus
NC_070759,Aeromonas sp.
NC_070760,Arthrobacter globiformis
NC_070761,Gordonia malaquae
NC_070762,Gordonia terrae
NC_070763,Gordonia terrae
NC_070764,Gordonia terrae
NC_070765,Mycolicibacterium smegmatis
NC_070766,Paeniglutamicibacter sulfureus
NC_070767,Paeniglutamicibacter sulfureus
NC_070770,Arthrobacter globiformis
NC_070771,Arthrobacter globiformis
NC_070772,Vibrio parahaemolyticus
NC_070773,Vibrio alginolyticus
NC_070774,Vibrio parahaemolyticus
NC_070775,Microbacterium sp. R1
NC_070776,Kosakonia cowanii
NC_070777,Enterobacter hormaechei
NC_070778,Enterobacter cloacae
NC_070779,Salmonella enterica
NC_070780,Escherichia coli
NC_070781,Streptomyces sanglieri
NC_070782,Streptomyces venezuelae
NC_070783,Streptomyces lividans
NC_070784,Streptomyces mirabilis
NC_070785,Streptomyces sanglieri
NC_070786,Streptomyces sanglieri
NC_070787,Gordonia terrae
NC_070788,Gordonia terrae
NC_070789,Gordonia terrae
NC_070790,Gordonia terrae
NC_070791,Gordonia terrae
NC_070792,Gordonia terrae
NC_070793,Gordonia terrae
NC_070794,Gordonia terrae
NC_070795,Gordonia terrae
NC_070796,Gordonia terrae
NC_070797,Gordonia terrae
NC_070798,Gordonia terrae
NC_070799,Gordonia terrae
NC_070800,Gordonia terrae
NC_070801,Gordonia terrae
NC_070802,Gordonia terrae
NC_070803,Gordonia terrae
NC_070804,Gordonia terrae
NC_070805,Gordonia rubripertincta
NC_070806,Gordonia terrae
NC_070807,Gordonia terrae
NC_070808,Gordonia terrae
NC_070809,Gordonia rubripertincta
NC_070810,Gordonia terrae
NC_070811,Gordonia terrae
NC_070813,Gordonia terrae
NC_070814,Gordonia terrae
NC_070815,Gordonia rubripertincta
NC_070816,Gordonia terrae
NC_070817,Gordonia terrae
NC_070818,Gordonia terrae
NC_070819,Gordonia terrae
NC_070821,Pseudoalteromonas sp.
NC_070822,Pseudoalteromonas phenolica
NC_070823,Pseudoalteromonas sp.
NC_070824,Pseudoalteromonas atlantica
NC_070828,Streptomyces platensis
NC_070829,Streptomyces griseofuscus
NC_070830,Streptomyces mirabilis
NC_070831,Arthrobacter globiformis
NC_070832,Arthrobacter globiformis
NC_070833,Arthrobacter globiformis
NC_070834,Arthrobacter globiformis
NC_070835,Arthrobacter globiformis
NC_070836,Arthrobacter globiformis
NC_070837,Arthrobacter globiformis
NC_070838,Arthrobacter globiformis
NC_070839,Synechococcus sp. CB0101
NC_070840,Aeromonas hydrophila
NC_070841,Bacillus cereus
NC_070842,Bacillus anthracis
NC_070843,Bacillus cereus
NC_070844,Bacillus cereus
NC_070845,Bacillus cereus
NC_070846,Salmonella enterica
NC_070847,Stenotrophomonas maltophilia
NC_070848,Vibrio alginolyticus
NC_070849,Alcaligenes faecalis
NC_070850,Shigella flexneri
NC_070851,Rhizobium phaseoli
NC_070852,Rhizobium phaseoli
NC_070853,Rhizobium phaseoli
NC_070854,Rhizobium etli
NC_070855,Rhizobium phaseoli
NC_070856,Rhizobium etli
NC_070857,Sinorhizobium americanum
NC_070858,Stenotrophomonas maltophilia
NC_070859,Dinoroseobacter shibae
NC_070860,Pectobacterium atrosepticum
NC_070861,Kosakonia cowanii
NC_070862,Pseudomonas aeruginosa
NC_070863,Pseudomonas aeruginosa
NC_070864,Pseudomonas aeruginosa
NC_070865,Pseudomonas sp.
NC_070866,Pseudomonas fluorescens
NC_070867,Stenotrophomonas maltophilia
NC_070868,Stenotrophomonas maltophilia
NC_070870,Escherichia coli
NC_070871,Escherichia coli
NC_070873,Escherichia coli
NC_070874,Escherichia coli
NC_070875,Serratia marcescens
NC_070876,Agrobacterium tumefaciens
NC_070877,Arthrobacter globiformis
NC_070878,Staphylococcus aureus
NC_070879,Staphylococcus epidermidis
NC_070880,Staphylococcus epidermidis
NC_070881,Pseudomonas fluorescens
NC_070884,Rhizobium etli
NC_070888,Rhizobium leguminosarum
NC_070889,Rhizobium leguminosarum
NC_070890,Agrobacterium tumefaciens
NC_070891,Gordonia rubripertincta
NC_070893,Gordonia rubripertincta
NC_070894,Gordonia rubripertincta
NC_070895,Gordonia rubripertincta
NC_070896,Gordonia rubripertincta
NC_070897,Gordonia rubripertincta
NC_070898,Streptococcus thermophilus
NC_070899,Streptococcus thermophilus
NC_070900,Streptococcus thermophilus
NC_070901,Streptococcus thermophilus
NC_070902,Escherichia coli
NC_070907,Yersinia pestis
NC_070908,Yersinia pestis
NC_070909,Escherichia coli
NC_070910,Burkholderia glumae
NC_070911,Salmonella enterica
NC_070912,Burkholderia pseudomallei
NC_070913,Yersinia enterocolitica
NC_070914,Yersinia enterocolitica
NC_070915,Yersinia enterocolitica
NC_070916,Yersinia enterocolitica
NC_070917,Yersinia enterocolitica
NC_070918,Yersinia enterocolitica
NC_070919,Aeromonas salmonicida
NC_070920,Shewanella sp. M16
NC_070921,Erwinia amylovora
NC_070922,Streptococcus pneumoniae
NC_070923,Streptococcus pneumoniae
NC_070924,Streptococcus pneumoniae
NC_070925,Streptococcus pneumoniae
NC_070926,Streptococcus pneumoniae
NC_070927,Streptococcus pneumoniae
NC_070928,Streptococcus pneumoniae
NC_070929,Streptococcus pneumoniae
NC_070930,Streptococcus pneumoniae
NC_070931,Brucella anthropi
NC_070932,Brucella intermedia
NC_070933,Ochrobactrum sp. POC9
NC_070934,Mycolicibacterium smegmatis
NC_070935,Mycolicibacterium smegmatis
NC_070936,Klebsiella aerogenes
NC_070937,Cronobacter sakazakii
NC_070948,Gordonia terrae
NC_070949,Erwinia persicina
NC_070950,Klebsiella pneumoniae
NC_070951,Stenotrophomonas maltophilia
NC_070952,Erwinia billingiae
NC_070953,Alteromonas macleodii
NC_070954,Burkholderia cenocepacia
NC_070955,Burkholderia gladioli
NC_070956,Aeromonas hydrophila
NC_070957,Aeromonas hydrophila
NC_070958,Aeromonas hydrophila
NC_070959,Synechococcus sp. MW02
NC_070960,Parasynechococcus marenigrum
NC_070961,Synechococcus sp. MW02
NC_070962,Synechococcus sp. WH 7803
NC_070964,Synechococcus sp. MW02
NC_070965,Synechococcus sp. MW02
NC_070966,Rhizobium sp. N941
NC_070967,Rhizobium phaseoli
NC_070968,Streptomyces lividans
NC_070969,Pseudomonas aeruginosa
NC_070970,Pseudomonas aeruginosa
NC_070971,Pseudomonas aeruginosa
NC_070972,Clostridium perfringens
NC_070973,Cronobacter sp.
NC_070974,Salmonella enterica
NC_070975,Proteus mirabilis
NC_070976,Proteus mirabilis
NC_070977,Aeromonas veronii
NC_070978,Vibrio parahaemolyticus
NC_070979,Escherichia sp.
NC_070981,Escherichia coli
NC_070982,Escherichia coli
NC_070983,Escherichia coli
NC_070984,Escherichia coli
NC_070985,Escherichia coli
NC_070986,Escherichia coli
NC_070988,Shigella flexneri
NC_070989,Escherichia coli
NC_070991,Escherichia coli
NC_070992,Escherichia coli
NC_070993,Escherichia coli
NC_070994,Gordonia terrae
NC_070995,Gordonia terrae
NC_070996,Gordonia terrae
NC_070997,Gordonia neofelifaecis
NC_070998,Aeromonas hydrophila
NC_070999,Aeromonas sp.
NC_071000,Providencia stuartii
NC_071001,Providencia stuartii
NC_071002,Enterococcus faecium
NC_071003,Enterobacter cloacae
NC_071004,Gordonia rubripertincta
NC_071005,Gordonia rubripertincta
NC_071006,Gordonia rubripertincta
NC_071007,Aeromonas hydrophila
NC_071008,Pantoea dispersa
NC_071009,Salmonella enterica
NC_071010,Salmonella enterica
NC_071011,Klebsiella pneumoniae
NC_071012,Carnobacterium divergens
NC_071013,Carnobacterium divergens
NC_071014,Brevibacterium fuscum
NC_071015,Kosakonia cowanii
NC_071016,Shewanella inventionis
NC_071017,Stenotrophomonas maltophilia
NC_071018,Stenotrophomonas maltophilia
NC_071019,Stenotrophomonas maltophilia
NC_071020,Stenotrophomonas maltophilia
NC_071021,Stenotrophomonas maltophilia
NC_071022,Paeniglutamicibacter sulfureus
NC_071023,Arthrobacter globiformis
NC_071024,Arthrobacter globiformis
NC_071025,Arthrobacter globiformis
NC_071026,Arthrobacter globiformis
NC_071027,Arthrobacter globiformis
NC_071028,Arthrobacter globiformis
NC_071029,Arthrobacter globiformis
NC_071030,Arthrobacter globiformis
NC_071031,Arthrobacter globiformis
NC_071032,Arthrobacter globiformis
NC_071033,Arthrobacter globiformis
NC_071035,Arthrobacter globiformis
NC_070622,Bacillus amyloliquefaciens
NC_070623,Bacillus sp. (in: firmicutes)
NC_070624,Bacillus subtilis
NC_070625,Bacillus subtilis
NC_069740,Pseudomonas sp.
NC_069741,Pseudomonas aeruginosa
NC_069742,Pseudomonas aeruginosa
NC_069743,Pseudomonas aeruginosa
NC_069744,Xanthomonas sp.
NC_069745,Xanthomonas arboricola
NC_069746,Pseudomonas aeruginosa
NC_069747,Pseudomonas sp.
NC_069748,Pseudomonas aeruginosa
NC_069749,Pseudomonas aeruginosa
NC_069750,Pseudomonas aeruginosa
NC_069751,Stenotrophomonas maltophilia
NC_069752,Pseudomonas syringae
NC_069753,Pseudomonas syringae
NC_069754,Pseudomonas syringae
NC_069755,Pseudomonas syringae
NC_069146,Salmonella enterica
NC_069147,Salmonella enterica
NC_069148,Salmonella sp.
NC_069149,Salmonella enterica
NC_069150,Salmonella enterica
NC_069151,Salmonella enterica
NC_069152,Salmonella enterica
NC_069153,Salmonella enterica
NC_069154,Klebsiella pneumoniae
NC_069155,Serratia marcescens
NC_069156,Serratia marcescens
NC_068555,Klebsiella pneumoniae
NC_067270,Mycolicibacterium smegmatis
NC_067194,bacterium
NC_062737,Xanthomonas vesicatoria
NC_062738,Methanobacterium formicicum
NC_062740,Halorubrum coriense
NC_062744,Cellulophaga sp. HaHa_2_95
NC_062745,Polaribacter sp. R2A056_3_33
NC_062746,Polaribacter sp. HaHaR_3_91
NC_062747,Tenacibaculum sp. AHE14PA
NC_062748,Olleya sp. HaHaR_3_96
NC_062749,Cellulophaga sp. HaHaR_3_176
NC_062750,Polaribacter sp. AHE13PA
NC_062751,Maribacter forsetii
NC_062752,Maribacter forsetii
NC_062753,Cellulophaga sp. HaHa_2_1
NC_062755,Haloarcula japonica
NC_062756,Halorubrum sp.
NC_062757,Halorubrum sp.
NC_062758,Halorubrum sp.
NC_062759,Halorubrum sp.
NC_062760,Halorubrum sp.
NC_062761,Halorubrum sp.
NC_062762,Halorubrum sp.
NC_062763,Halorubrum sodomense
NC_062581,Pseudomonas syringae
NC_061432,Pseudomonas aeruginosa
NC_061433,Pseudomonas aeruginosa
NC_061434,Pseudomonas aeruginosa
NC_061436,Pseudomonas aeruginosa
NC_061440,Erwinia amylovora
NC_061441,Erwinia amylovora
NC_061442,Erwinia amylovora
NC_061443,Erwinia amylovora
NC_061444,Erwinia amylovora
NC_061445,Erwinia amylovora
NC_061446,Erwinia amylovora
NC_061447,Erwinia amylovora
NC_061448,Erwinia amylovora
NC_061449,Erwinia amylovora
NC_061450,Erwinia amylovora
NC_061451,Erwinia amylovora
NC_061418,Klebsiella pneumoniae
NC_061421,Klebsiella pneumoniae
NC_060131,Gordonia terrae
NC_060132,Gordonia terrae
NC_060133,Gordonia terrae
NC_060134,Gordonia terrae
NC_060135,Gordonia terrae
NC_060136,Gordonia terrae
NC_060137,Gordonia terrae
NC_052978,Proteus mirabilis
NC_055956,Klebsiella pneumoniae
NC_055706,Candidatus Azobacteroides pseudotrichonymphae
NC_055708,Escherichia coli
NC_055709,Escherichia coli
NC_055710,Synechococcus sp.
NC_055711,Pseudomonas aeruginosa
NC_055712,Escherichia coli
NC_055714,Mycolicibacterium smegmatis
