Accession,Organism_Name,Species,Genus,Family,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
NC_079184,Escherichia phage vB_EcoM_DE15,Carltongylesvirus DE15,Carltongylesvirus,Chaseviridae,,,53998,complete,,Escherichia coli,,"Cui,J.",,2023-05-17,dsDNA
NC_079185,Vibrio phage vB_VpaM_VPs20,Liaoningvirus VPs20,Liaoningvirus,Chaseviridae,,,53793,complete,,Vibrio parahaemolyticus,,"Liu,S.",2021-12-07,2023-05-17,dsDNA
NC_079186,Aeromonas phage BUCT696,Longwangvirus BUCT696,Longwangvirus,Chaseviridae,,,53372,complete,China,Aeromonas veronii,,"Tian,F., Li,J., Li,F., Tong,Y.",,2023-05-17,dsDNA
NC_079187,Aeromonas phage pAh6.2TG,Phayathaivirus pAh62TG,Phayathaivirus,Chaseviridae,,,51780,complete,Viet Nam: Tien Giang Province,Aeromonas hydrophila,,"Le,T.D.",2017,2023-05-17,dsDNA
NC_079188,Aeromonas phage PVN03,Phayathaivirus PVN03,Phayathaivirus,Chaseviridae,,,50725,complete,Viet Nam,Aeromonas hydrophila,,"Hoang,H.A., Quang,V.T., Phi,N.L., Thi,X.T., Nguyen,N.H.",2020-03-25,2023-05-17,dsDNA
NC_079140,Gordonia phage Azira,Aziravirus azira,Aziravirus,,,,45336,complete,"USA: Tampa, FL",Gordonia rubripertincta,,"McGarrah,C.E.E., Algarin-Martinez,E.D., Cavasini,M.E.D., Correa,V., Danielson,D.F., Dean,W.R., French,J.L., Gaskin,N., Jain,U., Janvier,J., Macumber,B.M., Martini,F.K., Mazzei,S.G., Mujica,J.M., Odegaard,O., Quarterman,C., Rand,T.M., Seidensticker,N.S., Serrano,T., Soltys,A., Ungrey,M.D., Pollenz,R.S., Russell,D.A., Jacobs-Sera,D., Hatfull,G.F.",2022-09-01,2023-05-08,dsDNA
NC_079141,Gordonia phage Gibbous,Aziravirus gibbous,Aziravirus,,,,45810,complete,"USA: Lincoln, NE",Gordonia rubripertincta,,"Birge,L.R., Bivans,L.D., Blakestad,S.M., Chesley,E.K., Frank,J.E., Hoagland,S., Hultquist,J., Lee,N.R., Pena,P.B., Ramsey,E.P., Chia,C., Gurney,S.M.R., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2018-08-01,2023-05-08,dsDNA
NC_079142,Gordonia phage Santhid,Santhisvirus santhid,Santhisvirus,,,,39295,complete,"USA: Orange City, IA",Gordonia terrae,,"Bastian,A.M., Blankespoor,M.J., Fynaardt,G.K., Gilmeister,S.A., Hurley,E., Jones,M., McKenney,E.J., Olguin,A.N., Rens,M.N., Sterk,A.E., Swart,S.M., Thurm,C.L., Trevino,A., VanEgdom,A., Veach,M.C., Pavich,L.R., Tolsma,S., Garlena,R.A., Russell,D.A., Jacobs-Sera,D., Hatfull,G.F.",2021-10-15,2023-05-08,dsDNA
NC_079143,Gordonia phage Tarzan,Santhisvirus tarzan,Santhisvirus,,,,40547,complete,"USA: Pittsburgh, PA",Gordonia terrae,,"Karpo,H.E., McAvaddy,O.H., Miller,J.S., Popovich,S.X., Sunnen,C.N., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2020-09-10,2023-05-08,dsDNA
NC_079144,Gordonia phage Reyja,Santhisvirus reyja,Santhisvirus,,,,41500,complete,"USA: Pittsburgh, PA",Gordonia terrae,,"Pope,W.H., Garlena,R.A., Russell,D.A., Jacobs-Sera,D., Hatfull,G.F.",2016-10-01,2023-05-08,dsDNA
NC_079145,Gordonia phage Jojo24,Santhisvirus jojo24,Santhisvirus,,,,40579,complete,"USA: Pittsburgh, PA",Gordonia terrae,,"Baker,S., Berry,C., Boyle,S., Bradley,W., Brown,D., Doyle,R., Edwards,M., Filijan,P., Harvey,R., Hernandez-Ramos,J., Huynh,R., Keppelmann,E., Mahoney,J., Matthiesen,J., Naquin,D., Pearson,A., Ramirez,R.F., Rementeria,N., Singleton,Z., Smith,K., Statley,K., Thomas,T., Trautner,M., Vakili,B., Austen,M., Brown,E., Edwards,A., Garibay,O.J., Goodwin,S., Hlaing,E., Hyndman,S., Marchetti,N., Marshall-Inman,S., Mathis,R., Medina,L., Nicacio,B., Park,J., Sabanal,H., Sheldon,M., Solis,K., Stargell,G., Wardrop,K., Yan,S., Zamudio,L., Schleif,M.C., Hinz,J.M., Davis,W.B., Pollenz,R.S., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2018-12-01,2023-05-08,dsDNA
NC_079146,Gordonia phage Commandaria,Commandariavirus commandaria,Commandariavirus,Zierdtviridae,,,68064,complete,"USA: Unity, ME",Gordonia terrae,,"Adamson,A.J., Baker,B.A., Galadyk,N., Joshi,D.H., Kistler,H.E., Roberts,S.M., Saint,K.A., Sunnen,C.N., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2019-09-10,2023-05-08,dsDNA
NC_077898,Yaba-7 virus,Orthobunyavirus heptayabaense,Orthobunyavirus,Peribunyaviridae,,,6867,complete,Nigeria,Mansonia africana,,"Kapuscinski,M.L., Bergren,N.A., Russell,B.J., Lee,J.S., Borland,E.M., Hartman,D.A., King,D.C., Hughes,H.R., Burkhalter,K.L., Kading,R.C., Stenglein,M.D., Layton,M., Bergren,N., Lee,J., Russell,B., Stenglein,M., Kading,R.",1963,2023-05-07,ssRNA(-)
NC_077899,Yaba-7 virus,Orthobunyavirus heptayabaense,Orthobunyavirus,Peribunyaviridae,,,4300,complete,Nigeria,Mansonia africana,,"Kapuscinski,M.L., Bergren,N.A., Russell,B.J., Lee,J.S., Borland,E.M., Hartman,D.A., King,D.C., Hughes,H.R., Burkhalter,K.L., Kading,R.C., Stenglein,M.D., Layton,M., Bergren,N., Lee,J., Russell,B., Stenglein,M., Kading,R.",1963,2023-05-07,ssRNA(-)
NC_077900,Yaba-7 virus,Orthobunyavirus heptayabaense,Orthobunyavirus,Peribunyaviridae,,,851,complete,Nigeria,Mansonia africana,,"Kapuscinski,M.L., Bergren,N.A., Russell,B.J., Lee,J.S., Borland,E.M., Hartman,D.A., King,D.C., Hughes,H.R., Burkhalter,K.L., Kading,R.C., Stenglein,M.D., Layton,M., Bergren,N., Lee,J., Russell,B., Stenglein,M., Kading,R.",1963,2023-05-07,ssRNA(-)
NC_077913,Matruh virus,Orthobunyavirus matruhense,Orthobunyavirus,Peribunyaviridae,,,4374,complete,Egypt,Curruca curruca,,"Shchetinin,A.M., Lvov,D.K., Deriabin,P.G., Botikov,A.G., Gitelman,A.K., Kuhn,J.H., Alkhovsky,S.V.",1961-09-26,2023-05-07,ssRNA(-)
NC_077914,Matruh virus,Orthobunyavirus matruhense,Orthobunyavirus,Peribunyaviridae,,,897,complete,Egypt,Curruca curruca,,"Shchetinin,A.M., Lvov,D.K., Deriabin,P.G., Botikov,A.G., Gitelman,A.K., Kuhn,J.H., Alkhovsky,S.V.",1961-09-26,2023-05-07,ssRNA(-)
NC_077915,Matruh virus,Orthobunyavirus matruhense,Orthobunyavirus,Peribunyaviridae,,,6949,complete,Egypt,Curruca curruca,,"Shchetinin,A.M., Lvov,D.K., Deriabin,P.G., Botikov,A.G., Gitelman,A.K., Kuhn,J.H., Alkhovsky,S.V.",1961-09-26,2023-05-07,ssRNA(-)
NC_077916,Mahogany hammock virus,Orthobunyavirus mahoganyense,Orthobunyavirus,Peribunyaviridae,,,6871,complete,USA,Culex,,"Shchetinin,A.M., Lvov,D.K., Deriabin,P.G., Botikov,A.G., Gitelman,A.K., Kuhn,J.H., Alkhovsky,S.V.",1964-01-25,2023-05-07,ssRNA(-)
NC_077917,Mahogany hammock virus,Orthobunyavirus mahoganyense,Orthobunyavirus,Peribunyaviridae,,,871,complete,USA,Culex,,"Shchetinin,A.M., Lvov,D.K., Deriabin,P.G., Botikov,A.G., Gitelman,A.K., Kuhn,J.H., Alkhovsky,S.V.",1964-01-25,2023-05-07,ssRNA(-)
NC_077918,Mahogany hammock virus,Orthobunyavirus mahoganyense,Orthobunyavirus,Peribunyaviridae,,,4422,complete,USA,Culex,,"Shchetinin,A.M., Lvov,D.K., Deriabin,P.G., Botikov,A.G., Gitelman,A.K., Kuhn,J.H., Alkhovsky,S.V.",1964-01-25,2023-05-07,ssRNA(-)
NC_077925,Ananindeua virus,Orthobunyavirus ananindeuaense,Orthobunyavirus,Peribunyaviridae,,BeAn20525,1003,complete,Brazil,Mus,,"Hughes,H.R., Russell,B., Lambert,A.J.",1960-06,2023-05-07,ssRNA(-)
NC_077926,Ananindeua virus,Orthobunyavirus ananindeuaense,Orthobunyavirus,Peribunyaviridae,,BeAn20525,4815,complete,Brazil,Mus,,"Hughes,H.R., Russell,B., Lambert,A.J.",1960-06,2023-05-07,ssRNA(-)
NC_077927,Ananindeua virus,Orthobunyavirus ananindeuaense,Orthobunyavirus,Peribunyaviridae,,BeAn20525,6935,complete,Brazil,Mus,,"Hughes,H.R., Russell,B., Lambert,A.J.",1960-06,2023-05-07,ssRNA(-)
NC_077928,Mirim virus,Orthobunyavirus mirimense,Orthobunyavirus,Peribunyaviridae,,,6979,complete,Brazil,Sapajus apella,,"Carvalho,V.L., Medeiros,D.B.A., Nunes,M.R.T., Vasconcelosa,P.F.C.",1957-08-13,2023-05-07,ssRNA(-)
NC_077929,Mirim virus,Orthobunyavirus mirimense,Orthobunyavirus,Peribunyaviridae,,,4534,complete,Brazil,Sapajus apella,,"Carvalho,V.L., Medeiros,D.B.A., Nunes,M.R.T., Vasconcelosa,P.F.C.",1957-08-13,2023-05-07,ssRNA(-)
NC_077930,Mirim virus,Orthobunyavirus mirimense,Orthobunyavirus,Peribunyaviridae,,,1094,complete,Brazil,Sapajus apella,,"Carvalho,V.L., Medeiros,D.B.A., Nunes,M.R.T., Vasconcelosa,P.F.C.",1957-08-13,2023-05-07,ssRNA(-)
NC_077934,Infirmatus virus,Orthobunyavirus infirmati,Orthobunyavirus,Peribunyaviridae,,Tampa 08,6967,complete,USA,Ochlerotatus infirmatus,,"Rogers,M.B., Gulino,K.M., Tesh,R.B., Cui,L., Fitch,A., Unnasch,T.R., Popov,V.L., Travassos da Rosa,A.P.A., Guzman,H., Carrera,J.P., Vasilakis,N., Ghedin,E., Carrera,J.-P.",2008-04-22,2023-05-07,ssRNA(-)
NC_077935,Infirmatus virus,Orthobunyavirus infirmati,Orthobunyavirus,Peribunyaviridae,,Tampa 08,968,complete,USA,Ochlerotatus infirmatus,,"Rogers,M.B., Gulino,K.M., Tesh,R.B., Cui,L., Fitch,A., Unnasch,T.R., Popov,V.L., Travassos da Rosa,A.P.A., Guzman,H., Carrera,J.P., Vasilakis,N., Ghedin,E., Carrera,J.-P.",2008-04-22,2023-05-07,ssRNA(-)
NC_077936,Infirmatus virus,Orthobunyavirus infirmati,Orthobunyavirus,Peribunyaviridae,,Tampa 08,4495,complete,USA,Ochlerotatus infirmatus,,"Rogers,M.B., Gulino,K.M., Tesh,R.B., Cui,L., Fitch,A., Unnasch,T.R., Popov,V.L., Travassos da Rosa,A.P.A., Guzman,H., Carrera,J.P., Vasilakis,N., Ghedin,E., Carrera,J.-P.",2008-04-22,2023-05-07,ssRNA(-)
NC_077940,Abras virus,Orthobunyavirus abrasense,Orthobunyavirus,Peribunyaviridae,,75V1183,4777,complete,Ecuador,Culex paracrybda,,,1974-08-21,2023-05-07,ssRNA(-)
NC_077941,Abras virus,Orthobunyavirus abrasense,Orthobunyavirus,Peribunyaviridae,,75V1183,6901,complete,Ecuador,Culex paracrybda,,,1974-08-21,2023-05-07,ssRNA(-)
NC_077942,Abras virus,Orthobunyavirus abrasense,Orthobunyavirus,Peribunyaviridae,,75V1183,1073,complete,Ecuador,Culex paracrybda,,,1974-01-21,2023-05-07,ssRNA(-)
NC_077946,Shark River virus,Orthobunyavirus squalofluvii,Orthobunyavirus,Peribunyaviridae,,64U80,6824,complete,Mexico,Cricetinae,,,1964,2023-05-07,ssRNA(-)
NC_077947,Shark River virus,Orthobunyavirus squalofluvii,Orthobunyavirus,Peribunyaviridae,,64U80,4661,complete,Mexico,Cricetinae,,,1964,2023-05-07,ssRNA(-)
NC_077948,Shark River virus,Orthobunyavirus squalofluvii,Orthobunyavirus,Peribunyaviridae,,64U80,1019,complete,Mexico,Cricetinae,,,1964,2023-05-07,ssRNA(-)
NC_077970,Shokwe virus,Orthobunyavirus shokweense,Orthobunyavirus,Peribunyaviridae,,,4427,complete,"South Africa: Ndumu, Natal, Shokwe pan",Aedes cumminsii,,"Kapuscinski,M.L., Bergren,N.A., Russell,B.J., Lee,J.S., Borland,E.M., Hartman,D.A., King,D.C., Hughes,H.R., Burkhalter,K.L., Kading,R.C., Stenglein,M.D., Layton,M., Bergren,N., Lee,J., Russell,B., Stenglein,M., Kading,R.",1962-01-11,2023-05-07,ssRNA(-)
NC_077971,Shokwe virus,Orthobunyavirus shokweense,Orthobunyavirus,Peribunyaviridae,,,943,complete,"South Africa: Ndumu, Natal, Shokwe pan",Aedes cumminsii,,"Kapuscinski,M.L., Bergren,N.A., Russell,B.J., Lee,J.S., Borland,E.M., Hartman,D.A., King,D.C., Hughes,H.R., Burkhalter,K.L., Kading,R.C., Stenglein,M.D., Layton,M., Bergren,N., Lee,J., Russell,B., Stenglein,M., Kading,R.",1962-01-11,2023-05-07,ssRNA(-)
NC_077972,Shokwe virus,Orthobunyavirus shokweense,Orthobunyavirus,Peribunyaviridae,,,6858,complete,"South Africa: Ndumu, Natal, Shokwe pan",Aedes cumminsii,,"Kapuscinski,M.L., Bergren,N.A., Russell,B.J., Lee,J.S., Borland,E.M., Hartman,D.A., King,D.C., Hughes,H.R., Burkhalter,K.L., Kading,R.C., Stenglein,M.D., Layton,M., Bergren,N., Lee,J., Russell,B., Stenglein,M., Kading,R.",1962-01-11,2023-05-07,ssRNA(-)
NC_077973,Apeu virus,Orthobunyavirus apeuense,Orthobunyavirus,Peribunyaviridae,,BeAn848,4534,complete,Brazil,Sapajus apella,,"Nunes,M.R., de Souza,W.M., Acrani,G.O., Cardoso,J.F., da Silva,S.P., Badra,S.J., Figueiredo,L.T., Vasconcelos,P.F., Souza,W.M., Silva,S.P., Vasconcelos,P.F.C.",1955-10-14,2023-05-07,ssRNA(-)
NC_077974,Apeu virus,Orthobunyavirus apeuense,Orthobunyavirus,Peribunyaviridae,,BeAn848,6935,complete,Brazil,Sapajus apella,,"Nunes,M.R., de Souza,W.M., Acrani,G.O., Cardoso,J.F., da Silva,S.P., Badra,S.J., Figueiredo,L.T., Vasconcelos,P.F., Souza,W.M., Silva,S.P., Vasconcelos,P.F.C.",1955-10-14,2023-05-07,ssRNA(-)
NC_077975,Apeu virus,Orthobunyavirus apeuense,Orthobunyavirus,Peribunyaviridae,,BeAn848,1082,complete,Brazil,Sapajus apella,,"Nunes,M.R., de Souza,W.M., Acrani,G.O., Cardoso,J.F., da Silva,S.P., Badra,S.J., Figueiredo,L.T., Vasconcelos,P.F., Souza,W.M., Silva,S.P., Vasconcelos,P.F.C.",1955-10-14,2023-05-07,ssRNA(-)
NC_077979,Nepuyo virus,Orthobunyavirus nepuyoi,Orthobunyavirus,Peribunyaviridae,,BeAn10709,6960,complete,Brazil,Mus,,"Nunes,M.R., de Souza,W.M., Acrani,G.O., Cardoso,J.F., da Silva,S.P., Badra,S.J., Figueiredo,L.T., Vasconcelos,P.F., Souza,W.M., Silva,S.P., Vasconcelos,P.F.C.",1959,2023-05-07,ssRNA(-)
NC_077980,Nepuyo virus,Orthobunyavirus nepuyoi,Orthobunyavirus,Peribunyaviridae,,BeAn10709,1003,complete,Brazil,Mus,,"Nunes,M.R., de Souza,W.M., Acrani,G.O., Cardoso,J.F., da Silva,S.P., Badra,S.J., Figueiredo,L.T., Vasconcelos,P.F., Souza,W.M., Silva,S.P., Vasconcelos,P.F.C.",1959,2023-05-07,ssRNA(-)
NC_077981,Nepuyo virus,Orthobunyavirus nepuyoi,Orthobunyavirus,Peribunyaviridae,,BeAn10709,4556,complete,Brazil,Mus,,"Nunes,M.R., de Souza,W.M., Acrani,G.O., Cardoso,J.F., da Silva,S.P., Badra,S.J., Figueiredo,L.T., Vasconcelos,P.F., Souza,W.M., Silva,S.P., Vasconcelos,P.F.C.",1959,2023-05-07,ssRNA(-)
NC_077982,Bruconha virus,Orthobunyavirus bruconhaense,Orthobunyavirus,Peribunyaviridae,,77V74814,1034,complete,Brazil,Mus,,,1977,2023-05-07,ssRNA(-)
NC_077983,Bruconha virus,Orthobunyavirus bruconhaense,Orthobunyavirus,Peribunyaviridae,,77V74814,7006,complete,Brazil,Mus,,,1977,2023-05-07,ssRNA(-)
NC_077984,Bruconha virus,Orthobunyavirus bruconhaense,Orthobunyavirus,Peribunyaviridae,,77V74814,4685,complete,Brazil,Mus,,,1977,2023-05-07,ssRNA(-)
NC_077985,Anopheles A virus,Orthobunyavirus horizonteense,Orthobunyavirus,Peribunyaviridae,,original,989,complete,Colombia: Villavicencio Meta,Anopheles boliviensis,,,1940-08-15,2023-05-07,ssRNA(-)
NC_077986,Anopheles A virus,Orthobunyavirus horizonteense,Orthobunyavirus,Peribunyaviridae,,original,6881,complete,Colombia: Villavicencio Meta,Anopheles boliviensis,,,1940-08-15,2023-05-07,ssRNA(-)
NC_077987,Anopheles A virus,Orthobunyavirus horizonteense,Orthobunyavirus,Peribunyaviridae,,original,4337,complete,Colombia: Villavicencio Meta,Anopheles boliviensis,,,1940-08-15,2023-05-07,ssRNA(-)
NC_078003,Northway virus,Orthobunyavirus northwayense,Orthobunyavirus,Peribunyaviridae,,,6862,complete,"USA: Alaska, Northway",Aedes sp.,,"Kapuscinski,M.L., Bergren,N.A., Russell,B.J., Lee,J.S., Borland,E.M., Hartman,D.A., King,D.C., Hughes,H.R., Burkhalter,K.L., Kading,R.C., Stenglein,M.D., Layton,M., Bergren,N., Lee,J., Russell,B., Stenglein,M., Kading,R.",1971-08-25,2023-05-07,ssRNA(-)
NC_078004,Northway virus,Orthobunyavirus northwayense,Orthobunyavirus,Peribunyaviridae,,,951,complete,USA,Aedes,,"Charles,J., Tangudu,C.S., Blitvich,B.J.",1972,2023-05-07,ssRNA(-)
NC_078005,Northway virus,Orthobunyavirus northwayense,Orthobunyavirus,Peribunyaviridae,,,4540,complete,USA,Aedes,,"Charles,J., Tangudu,C.S., Blitvich,B.J.",1972,2023-05-07,ssRNA(-)
NC_078143,Gossas virus,Orthonairovirus gossasense,Orthonairovirus,Nairoviridae,,DakAnD 401,1608,complete,Senegal,Tadarida,,,1964-11-19,2023-05-07,ssRNA(-)
NC_078144,Gossas virus,Orthonairovirus gossasense,Orthonairovirus,Nairoviridae,,DakAnD 401,5941,complete,Senegal,Tadarida,,,1964-11-19,2023-05-07,ssRNA(-)
NC_078145,Gossas virus,Orthonairovirus gossasense,Orthonairovirus,Nairoviridae,,DakAnD 401,12577,complete,Senegal,Tadarida,,,1964-11-19,2023-05-07,ssRNA(-)
