pident,coverage,taxonomy,ratio
96,98,genus,0.45742574257425744
96,98,family,0.7506775067750677
97,98,species,0.1772983114446529
97,98,genus,0.5023255813953489
97,98,family,0.8037383177570093
98,98,species,0.18181818181818182
98,98,genus,0.5371900826446281
98,98,family,0.837037037037037
99,98,species,0.1848341232227488
99,98,genus,0.551440329218107
99,98,family,0.8953488372093024
100,98,species,0.1848341232227488
100,98,genus,0.551440329218107
100,98,family,0.8953488372093024
90,99,species,0.049862083598557184
90,99,genus,0.16379760041731872
90,99,family,0.36221837088388215
91,99,species,0.06511091904350332
91,99,genus,0.22478829869130101
91,99,family,0.440046565774156
92,99,species,0.07097791798107256
92,99,genus,0.24338624338624337
92,99,family,0.4559789750328515
93,99,species,0.082842559874362
93,99,genus,0.28774617067833697
93,99,family,0.5390749601275917
94,99,species,0.11123287671232877
94,99,genus,0.36930091185410335
94,99,family,0.6373165618448637
95,99,species,0.14787154592979837
95,99,genus,0.4497153700189753
95,99,family,0.7416020671834626
96,99,species,0.1552
96,99,genus,0.46611909650924027
96,99,family,0.7661971830985915
97,99,species,0.18075801749271136
97,99,genus,0.5132530120481927
97,99,family,0.819935691318328
98,99,species,0.18318965517241378
98,99,genus,0.5406162464985994
98,99,family,0.8484848484848485
99,99,species,0.1858974358974359
99,99,genus,0.5495867768595041
99,99,family,0.8947368421052632
100,99,species,0.1858974358974359
100,99,genus,0.5495867768595041
100,99,family,0.8947368421052632
90,100,species,0.049862083598557184
90,100,genus,0.16379760041731872
90,100,family,0.36221837088388215
91,100,species,0.06511091904350332
91,100,genus,0.22478829869130101
91,100,family,0.440046565774156
92,100,species,0.07097791798107256
92,100,genus,0.24338624338624337
92,100,family,0.4559789750328515
93,100,species,0.082842559874362
93,100,genus,0.28774617067833697
93,100,family,0.5390749601275917
94,100,species,0.11123287671232877
94,100,genus,0.36930091185410335
94,100,family,0.6373165618448637
95,100,species,0.14787154592979837
95,100,genus,0.4497153700189753
95,100,family,0.7416020671834626
96,100,species,0.1552
96,100,genus,0.46611909650924027
96,100,family,0.7661971830985915
97,100,species,0.18075801749271136
97,100,genus,0.5132530120481927
97,100,family,0.819935691318328
98,100,species,0.18318965517241378
98,100,genus,0.5406162464985994
98,100,family,0.8484848484848485
99,100,species,0.1858974358974359
99,100,genus,0.5495867768595041
99,100,family,0.8947368421052632
100,100,species,0.1858974358974359
100,100,genus,0.5495867768595041
100,100,family,0.8947368421052632
