Accession,Host,order,family,genus,species
NC_074753.1,Serratia marcescens,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens
NC_074754.1,Serratia marcescens,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens
NC_074755.1,Serratia marcescens,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens
NC_074756.1,Serratia marcescens,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens
NC_074757.1,Serratia marcescens,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens
NC_074758.1,Serratia marcescens,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens
NC_073747.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073748.1,Vibrio cholerae,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae
NC_073749.1,Vibrio cholerae,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae
NC_073750.1,Vibrio cholerae,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae
NC_073751.1,Erwinia amylovora,Enterobacterales,Erwiniaceae,Erwinia,Erwinia amylovora
NC_073752.1,Xanthomonas citri,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas citri
NC_073754.1,Xanthomonas campestris,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas campestris
NC_073755.1,Xanthomonas campestris,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas campestris
NC_073756.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073757.1,Ralstonia solanacearum,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia solanacearum
NC_073758.1,Vibrio anguillarum,Vibrionales,Vibrionaceae,Vibrio,Vibrio anguillarum
NC_073759.1,Vibrio alginolyticus,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
NC_073760.1,Vibrio alginolyticus,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
NC_074560.1,Bacillus cereus,Bacillales,Bacillaceae,Bacillus,Bacillus cereus
NC_074561.1,Bacillus cereus,Bacillales,Bacillaceae,Bacillus,Bacillus cereus
NC_074632.1,Acidianus brierleyi,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus brierleyi
NC_074633.1,Metallosphaera sedula,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera sedula
NC_074634.1,Saccharolobus solfataricus,Sulfolobales,Sulfolobaceae,Saccharolobus,Saccharolobus solfataricus
NC_074637.1,Pyrobaculum arsenaticum,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum arsenaticum
NC_074641.1,Methanocaldococcus fervens,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus fervens
NC_074642.1,Methanoculleus bourgensis,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Methanoculleus bourgensis
NC_074643.1,Promethearchaeati archaeon,unknown,unknown,unknown,unknown
NC_074644.1,Promethearchaeati archaeon,unknown,unknown,unknown,unknown
NC_074645.1,Promethearchaeati archaeon,unknown,unknown,unknown,unknown
NC_074646.1,Natrinema sp. J7-1,Halobacteriales,Natrialbaceae,Natrinema,Natrinema sp. J7-1
NC_074647.1,Haloarcula hispanica,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula hispanica
NC_074651.1,Natrinema thermotolerans,Halobacteriales,Natrialbaceae,Natrinema,Natrinema thermotolerans
NC_074652.1,Natrinema versiforme,Halobacteriales,Natrialbaceae,Natrinema,Natrinema versiforme
NC_074653.1,Pyrobaculum arsenaticum,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum arsenaticum
NC_074654.1,Thermoproteus sp. CP80,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus sp. CP80
NC_074656.1,Nitrosopumilus sp.,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp.
NC_074657.1,Nitrosopumilus sp.,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp.
NC_074658.1,Pseudomonas syringae,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae
NC_074659.1,Pseudomonas sp. ANT_H14,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. ANT_H14
NC_074661.1,Pseudomonas syringae,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae
NC_074662.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_074663.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_074664.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073672.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073675.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073676.1,Pseudomonas sp.,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp.
NC_073601.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073602.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073603.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073604.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073605.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073606.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073607.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073608.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073609.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073610.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073611.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073612.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073613.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073614.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073615.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073616.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073618.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073619.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073620.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073621.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073622.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073623.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_073595.1,Arthrobacter globiformis,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis
NC_073596.1,Arthrobacter globiformis,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis
NC_073598.1,Arthrobacter globiformis,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis
NC_073599.1,Arthrobacter globiformis,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis
NC_073600.1,Arthrobacter globiformis,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis
NC_073483.1,Streptomyces sanglieri,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sanglieri
NC_073484.1,Streptomyces sanglieri,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sanglieri
NC_073485.1,Streptomyces sanglieri,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sanglieri
NC_073486.1,Streptomyces sanglieri,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sanglieri
NC_073487.1,Streptomyces sanglieri,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sanglieri
NC_073488.1,Streptomyces sanglieri,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sanglieri
NC_073489.1,Streptomyces sanglieri,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sanglieri
NC_073490.1,Streptomyces sanglieri,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sanglieri
NC_073588.1,Arthrobacter globiformis,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis
NC_073589.1,Arthrobacter globiformis,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis
NC_073590.1,Arthrobacter globiformis,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis
NC_073591.1,Arthrobacter globiformis,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis
NC_073592.1,Arthrobacter globiformis,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis
NC_073593.1,Arthrobacter globiformis,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis
NC_073594.1,Arthrobacter globiformis,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis
NC_073476.1,Curtobacterium sp.,Micrococcales,Microbacteriaceae,Curtobacterium,Curtobacterium sp.
NC_073477.1,Curtobacterium sp.,Micrococcales,Microbacteriaceae,Curtobacterium,Curtobacterium sp.
NC_073478.1,Bifidobacterium dentium,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium dentium
NC_073479.1,Glutamicibacter arilaitensis,Micrococcales,Micrococcaceae,Glutamicibacter,Glutamicibacter arilaitensis
NC_073456.1,Rhodococcus erythropolis,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus erythropolis
NC_073457.1,Streptomyces venezuelae,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces venezuelae
NC_073458.1,Corynebacterium flavescens,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium flavescens
NC_073459.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_073460.1,Microbacterium paraoxydans,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium paraoxydans
NC_073461.1,Streptomyces lividans,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces lividans
NC_073462.1,Streptomyces lividans,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces lividans
NC_073463.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_073464.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_073465.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_073466.1,Microbacterium radiodurans,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium radiodurans
NC_073467.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073468.1,Microbacterium paraoxydans,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium paraoxydans
NC_073469.1,Arthrobacter globiformis,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis
NC_073470.1,Microbacterium paraoxydans,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium paraoxydans
NC_073471.1,Rothia dentocariosa,Micrococcales,Micrococcaceae,Rothia,Rothia dentocariosa
NC_073472.1,Streptomyces lividans,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces lividans
NC_073473.1,Streptomyces scabiei,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces scabiei
NC_073474.1,Gordonia rubripertincta,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia rubripertincta
NC_073475.1,Rhodococcus opacus,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus opacus
NC_073427.1,Microbacterium testaceum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium testaceum
NC_073428.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073429.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073430.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073431.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073432.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073433.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073434.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073435.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073436.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073437.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073438.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073439.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073440.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073441.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073442.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073443.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073444.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073445.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073446.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073447.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073448.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073449.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073450.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073451.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073452.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073453.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073454.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073455.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073362.1,Microbacterium paraoxydans,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium paraoxydans
NC_073363.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073364.1,Microbacterium paraoxydans,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium paraoxydans
NC_073365.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073366.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073367.1,Microbacterium paraoxydans,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium paraoxydans
NC_073368.1,Microbacterium paraoxydans,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium paraoxydans
NC_073369.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073370.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073371.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073372.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_073373.1,Microbacterium paraoxydans,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium paraoxydans
NC_073374.1,Microbacterium paraoxydans,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium paraoxydans
NC_073375.1,Microbacterium paraoxydans,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium paraoxydans
NC_073376.1,Microbacterium paraoxydans,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium paraoxydans
NC_073314.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_073315.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_073316.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_073317.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_073318.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_073319.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_073320.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_073321.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_073322.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_073323.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_073324.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_073325.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_073093.1,Xanthomonas translucens,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas translucens
NC_073094.1,Xanthomonas translucens,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas translucens
NC_073095.1,Xanthomonas translucens,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas translucens
NC_073169.1,Salmonella sp.,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella sp.
NC_073170.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073171.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073172.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073173.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073174.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073175.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073176.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073177.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073178.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073179.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073180.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073181.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073182.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073183.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073184.1,Salmonella sp.,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella sp.
NC_073185.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073186.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073187.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073188.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073189.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073190.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073192.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073193.1,Salmonella sp.,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella sp.
NC_073194.1,Salmonella sp.,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella sp.
NC_073195.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073196.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073197.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073198.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073199.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073200.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073201.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_073202.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
